trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
291,7,AK_10007,17:28:00,17:28:00,,,,239582.23,0
291,8,AK_10008,17:54:00,17:54:00,,,,271266.42,0
291,9,STOP_1473500,18:14:00,18:14:00,,,,299238.18,0
291,10,STOP_300c06f8-4ec0-41d6-b965-ff8bd77330bb,19:27:00,19:27:00,,0,0,349740.23,
291,11,STOP_c02c6226-bf4e-4eff-bf1f-91319a32814a,19:52:00,19:52:00,,0,0,365013.46,
68,0,STOP_f8bdf734-ec0b-4f9a-ae8d-ba8ab42c9f23,10:20:00,10:20:00,,0,0,0.00,
68,1,STOP_425876a5-bfc0-4dfb-afe8-fb4bb81696cb,10:35:00,10:35:00,,0,0,4674.21,
68,2,STOP_dc5268a3-2fcc-4138-bf9e-2f20ca83160e,11:55:00,12:55:00,,0,0,61749.76,0
68,3,STOP_b5919444-bd0f-408c-ad3a-01a133611581,13:25:00,13:25:00,,0,0,95425.83,0
68,4,AK_10013,14:29:00,14:29:00,,0,0,152079.79,0
68,5,AK_10012,14:54:00,14:54:00,,0,0,168218.80,0
68,6,STOP_c1d11fda-c520-4d43-aaad-e568d736c809,15:18:00,15:18:00,,0,0,189877.66,0
68,7,AK_10010,15:50:00,15:50:00,,0,0,223181.18,0
68,8,STOP_1473500,16:16:00,16:16:00,,0,0,257916.87,0
68,9,AK_10008,16:45:00,16:45:00,,0,0,285888.63,0
68,10,AK_10007,17:18:00,17:18:00,,0,0,317572.82,0
68,11,AK_10006,17:40:00,18:15:00,,0,0,342851.14,0
68,12,AK_10005,18:38:00,18:38:00,,0,0,386204.82,0
68,13,AK_10004,19:00:00,19:00:00,,0,0,425304.20,0
68,14,AK_10003,19:15:00,19:15:00,,0,0,449257.70,0
68,15,AK_10002,19:56:00,19:56:00,,0,0,506832.19,0
68,16,AK_10001,20:17:00,20:17:00,,0,0,535119.34,0
68,17,AK_10000,20:50:00,20:50:00,,0,0,557155.05,0
69,0,AK_10000,08:15:00,08:15:00,,0,0,0.00,0
69,1,AK_10001,08:44:00,08:44:00,,0,0,22035.71,0
69,2,AK_10002,09:03:00,09:03:00,,0,0,50322.86,0
69,3,AK_10003,09:45:00,09:45:00,,0,0,107897.35,0
69,4,AK_10004,10:01:00,10:01:00,,0,0,131850.85,0
69,5,AK_10005,10:21:00,10:21:00,,0,0,170950.23,0
69,6,AK_10006,10:47:00,11:10:00,,0,0,214303.90,0
69,7,AK_10007,11:33:00,11:33:00,,0,0,239582.23,0
69,8,AK_10008,12:02:00,12:02:00,,0,0,271266.42,0
69,9,STOP_1473500,12:23:00,12:23:00,,0,0,299238.18,0
69,10,AK_10010,12:47:00,12:47:00,,0,0,333973.86,0
69,11,STOP_c1d11fda-c520-4d43-aaad-e568d736c809,13:20:00,13:20:00,,0,0,367277.38,0
69,12,AK_10012,13:42:00,13:42:00,,0,0,388936.25,0
69,13,AK_10013,14:02:00,14:02:00,,0,0,405075.26,0
69,14,STOP_b5919444-bd0f-408c-ad3a-01a133611581,15:20:00,15:20:00,,0,0,461729.22,0
69,15,STOP_dc5268a3-2fcc-4138-bf9e-2f20ca83160e,16:03:00,16:03:00,,0,0,495405.29,0
